[2022-10-19 19:32:44,990][INFO] Train Epoch: 3  [300/1000 (30%)]     Batch_Loss: 0.013830       Batch_Acc: 50.000%
[2022-10-19 19:32:44,990][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:45,817][INFO] Train Epoch: 3  [350/1000 (35%)]     Batch_Loss: 0.013874       Batch_Acc: 40.000%
[2022-10-19 19:32:45,818][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:46,697][INFO] Train Epoch: 3  [400/1000 (40%)]     Batch_Loss: 0.013787       Batch_Acc: 60.000%
[2022-10-19 19:32:46,698][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:47,516][INFO] Train Epoch: 3  [450/1000 (45%)]     Batch_Loss: 0.013760       Batch_Acc: 64.000%
[2022-10-19 19:32:47,516][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:48,482][INFO] Train Epoch: 3  [500/1000 (50%)]     Batch_Loss: 0.013833       Batch_Acc: 50.000%
[2022-10-19 19:32:48,482][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:49,197][INFO] Train Epoch: 3  [550/1000 (55%)]     Batch_Loss: 0.013850       Batch_Acc: 46.000%
[2022-10-19 19:32:49,198][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:50,014][INFO] Train Epoch: 3  [600/1000 (60%)]     Batch_Loss: 0.013732       Batch_Acc: 70.000%
[2022-10-19 19:32:50,014][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:50,815][INFO] Train Epoch: 3  [650/1000 (65%)]     Batch_Loss: 0.013796       Batch_Acc: 56.000%
[2022-10-19 19:32:50,816][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:51,626][INFO] Train Epoch: 3  [700/1000 (70%)]     Batch_Loss: 0.013851       Batch_Acc: 44.000%
[2022-10-19 19:32:51,627][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:52,391][INFO] Train Epoch: 3  [750/1000 (75%)]     Batch_Loss: 0.013819       Batch_Acc: 52.000%
[2022-10-19 19:32:52,391][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:53,120][INFO] Train Epoch: 3  [800/1000 (80%)]     Batch_Loss: 0.013834       Batch_Acc: 48.000%
[2022-10-19 19:32:53,121][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:53,817][INFO] Train Epoch: 3  [850/1000 (85%)]     Batch_Loss: 0.013837       Batch_Acc: 48.000%
[2022-10-19 19:32:53,818][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:54,774][INFO] Train Epoch: 3  [900/1000 (90%)]     Batch_Loss: 0.013859       Batch_Acc: 44.000%
[2022-10-19 19:32:54,774][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:55,604][INFO] Train Epoch: 3  [950/1000 (95%)]     Batch_Loss: 0.013881       Batch_Acc: 38.000%
[2022-10-19 19:32:55,604][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:55,605][INFO] ###############################################################################################################

[2022-10-19 19:32:55,605][INFO] Train Epoch: [3\200]	time: 16s
[2022-10-19 19:32:55,605][INFO] lr_rate: 0.0001

[2022-10-19 19:32:55,605][INFO] Train_Loss: 0.013829      Train_Acc: 50.000%

[2022-10-19 19:32:55,605][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:58,412][INFO] Test_Loss: 0.013834      Test_Acc: 50.000%

[2022-10-19 19:32:58,412][INFO] --------------------------------------------------------
[2022-10-19 19:32:58,422][INFO] start training!
[2022-10-19 19:32:59,516][INFO] Train Epoch: 4  [0/1000 (0%)]     Batch_Loss: 0.013831       Batch_Acc: 46.000%
[2022-10-19 19:32:59,516][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:00,410][INFO] Train Epoch: 4  [50/1000 (5%)]     Batch_Loss: 0.013849       Batch_Acc: 46.000%
[2022-10-19 19:33:00,410][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:01,399][INFO] Train Epoch: 4  [100/1000 (10%)]     Batch_Loss: 0.013779       Batch_Acc: 58.000%
[2022-10-19 19:33:01,399][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:02,505][INFO] Train Epoch: 4  [150/1000 (15%)]     Batch_Loss: 0.013812       Batch_Acc: 54.000%
[2022-10-19 19:33:02,505][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:03,710][INFO] Train Epoch: 4  [200/1000 (20%)]     Batch_Loss: 0.013803       Batch_Acc: 52.000%
[2022-10-19 19:33:03,710][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:04,508][INFO] Train Epoch: 4  [250/1000 (25%)]     Batch_Loss: 0.013792       Batch_Acc: 56.000%
[2022-10-19 19:33:04,509][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:05,492][INFO] Train Epoch: 4  [300/1000 (30%)]     Batch_Loss: 0.013822       Batch_Acc: 52.000%
[2022-10-19 19:33:05,492][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:06,199][INFO] Train Epoch: 4  [350/1000 (35%)]     Batch_Loss: 0.013813       Batch_Acc: 52.000%
[2022-10-19 19:33:06,200][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:06,909][INFO] Train Epoch: 4  [400/1000 (40%)]     Batch_Loss: 0.013809       Batch_Acc: 52.000%
[2022-10-19 19:33:06,910][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:07,787][INFO] Train Epoch: 4  [450/1000 (45%)]     Batch_Loss: 0.013805       Batch_Acc: 54.000%
[2022-10-19 19:33:07,787][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:08,648][INFO] Train Epoch: 4  [500/1000 (50%)]     Batch_Loss: 0.013820       Batch_Acc: 50.000%
[2022-10-19 19:33:08,648][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:09,313][INFO] Train Epoch: 4  [550/1000 (55%)]     Batch_Loss: 0.013759       Batch_Acc: 62.000%
[2022-10-19 19:33:09,313][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:10,341][INFO] Train Epoch: 4  [600/1000 (60%)]     Batch_Loss: 0.013856       Batch_Acc: 42.000%
[2022-10-19 19:33:10,341][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:11,297][INFO] Train Epoch: 4  [650/1000 (65%)]     Batch_Loss: 0.013851       Batch_Acc: 44.000%
[2022-10-19 19:33:11,298][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:12,207][INFO] Train Epoch: 4  [700/1000 (70%)]     Batch_Loss: 0.013821       Batch_Acc: 50.000%
[2022-10-19 19:33:12,207][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:13,137][INFO] Train Epoch: 4  [750/1000 (75%)]     Batch_Loss: 0.013816       Batch_Acc: 50.000%
[2022-10-19 19:33:13,138][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:13,933][INFO] Train Epoch: 4  [800/1000 (80%)]     Batch_Loss: 0.013864       Batch_Acc: 40.000%
[2022-10-19 19:33:13,934][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:14,674][INFO] Train Epoch: 4  [850/1000 (85%)]     Batch_Loss: 0.013820       Batch_Acc: 48.000%
[2022-10-19 19:33:14,675][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:15,317][INFO] Train Epoch: 4  [900/1000 (90%)]     Batch_Loss: 0.013852       Batch_Acc: 44.000%
[2022-10-19 19:33:15,317][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:16,020][INFO] Train Epoch: 4  [950/1000 (95%)]     Batch_Loss: 0.013819       Batch_Acc: 48.000%
[2022-10-19 19:33:16,020][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:16,021][INFO] ###############################################################################################################

[2022-10-19 19:33:16,021][INFO] Train Epoch: [4\200]	time: 17s
[2022-10-19 19:33:16,021][INFO] lr_rate: 0.0001

[2022-10-19 19:33:16,021][INFO] Train_Loss: 0.013820      Train_Acc: 50.000%

[2022-10-19 19:33:16,021][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:17,908][INFO] Test_Loss: 0.013826      Test_Acc: 50.000%

[2022-10-19 19:33:17,908][INFO] --------------------------------------------------------
[2022-10-19 19:33:17,917][INFO] start training!
[2022-10-19 19:33:18,619][INFO] Train Epoch: 5  [0/1000 (0%)]     Batch_Loss: 0.013819       Batch_Acc: 50.000%
[2022-10-19 19:33:18,620][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:33:19,215][INFO] Train Epoch: 5  [50/1000 (5%)]     Batch_Loss: 0.013770       Batch_Acc: 56.000%
[2022-10-19 19:33:19,215][INFO] -----------------------------------------------------------------------------------------------------------
